episode_id,true_break_event_id,sweep_event_id,timestamp,direction,side,structural_level_id,sweep_penetration_per_atr,plus1r_before_minus1r,retest_hold_or_fail
Asia-Low_2025.07.22__ep1,2388,2384,2025-07-22 16:30:00,BUY,Asia-Low,Asia-Low_2025.07.22,0.11185145509385948,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Asia-Low_2025.07.23__ep1,2401,2400,2025-07-23 04:00:00,BUY,Asia-Low,Asia-Low_2025.07.23,0.1110271261530798,AMBIGUOUS_SAME_BAR,FAIL
Daily-Low_2025.07.22__ep3,2429,2428,2025-07-23 00:00:00,BUY,Daily-Low,Daily-Low_2025.07.22,0.043372603217344,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Weekly-High_2025.07.13__ep2,2450,2449,2025-07-24 16:00:00,SELL,Weekly-High,Weekly-High_2025.07.13,0.04810081117766396,MINUS_1R_FIRST,N/A_NO_RETEST
Asia-Low_2025.07.24__ep4,2458,2457,2025-07-24 00:00:00,BUY,Asia-Low,Asia-Low_2025.07.24,0.02285270704824642,PLUS_1R_FIRST,N/A_NO_RETEST
Weekly-High_2025.07.13__ep6,2463,2462,2025-07-25 17:15:00,SELL,Weekly-High,Weekly-High_2025.07.13,0.019633638998171055,PLUS_1R_FIRST,N/A_NO_RETEST
Equal-High_2025.07.29 18:40__ep1,2515,2513,2025-07-29 19:00:00,SELL,Equal-High,Equal-High_2025.07.29 18:40,0.0687658470012801,PLUS_1R_FIRST,HOLD
Asia-High_2025.07.31__ep1,2546,2545,2025-07-31 00:00:00,SELL,Asia-High,Asia-High_2025.07.31,0.12710343187927298,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Daily-Low_2025.08.25__ep1,2934,2933,2025-08-26 04:00:00,BUY,Daily-Low,Daily-Low_2025.08.25,0.3119724437707765,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
Asia-Low_2025.08.27__ep1,2964,2958,2025-08-28 17:15:00,BUY,Asia-Low,Asia-Low_2025.08.27,0.05540845070422535,MINUS_1R_FIRST,N/A_NO_RETEST
Asia-Low_2025.08.28__ep1,2973,2962,2025-08-28 19:00:00,BUY,Asia-Low,Asia-Low_2025.08.28,0.03706298486532292,AMBIGUOUS_SAME_BAR,AMBIGUOUS
Asia-Low_2025.08.29__ep2,2982,2979,2025-08-29 18:00:00,BUY,Asia-Low,Asia-Low_2025.08.29,0.08223034395207543,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST
